;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
1;0;0;0;0;0;0;0;0;0,05;0,05;0,15;0,23;0,28;0,25;0,2;0,15;0,08;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0,28;0,3;0,4;0,48;0,56;0,575;0,6;0,55;0,45;0;0,25;0,1;0;0;0;0
3;0;0;0;0;0;0;0;0,1;0,3;0,4;0,55;0,68;0,76;0,8;0,775;0,78;0,68;0,375;0,35;0,23;0,03;0;0;0
4;0;0;0;0;0;0;0,025;0,13;0,33;0,425;0,65;0,8;0,8;0,84;0,825;0,85;0,77;0,55;0,4;0,25;0,1;0;0;0
5;0;0;0;0;0;0,025;0,075;0,2;0,4;0,55;0,7;0,83;0,94;0,95;0,95;0,9;0,79;0,625;0,45;0,3;0,13;0;0;0
