;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
1406,9;0,06451613;0,032258064;0,12903225;0,22580644;0,32258064;0,29032257;0,16129032;0,06451613;0,06451613;0;0;0;0;0;0;0;0;0;0,032258064;0,032258064;0,032258064;0,06451613;0,032258064;0,032258064
1749,1833;0,48387095;0,58064514;0,58064514;0,516129;0,41935483;0,5483871;0,61290324;0,516129;0,3548387;0,06451613;0,06451613;0,06451613;0,06451613;0,032258064;0,06451613;0,032258064;0,033333335;0,06451613;0,12903225;0,2580645;0,2580645;0,29032257;0,3548387;0,4516129
2091,4668;0,3548387;0,29032257;0,19354838;0,16129032;0,19354838;0,09677419;0,12903225;0,32258064;0,41935483;0,6451613;0,5483871;0,38709676;0,3548387;0,3548387;0,32258064;0,3548387;0,36666667;0,38709676;0,4516129;0,41935483;0,48387095;0,41935483;0,38709676;0,38709676
2433,7502;0,06451613;0,06451613;0,06451613;0,06451613;0,032258064;0,032258064;0,06451613;0,06451613;0,06451613;0,19354838;0,2580645;0,4516129;0,4516129;0,4516129;0,4516129;0,41935483;0,4;0,38709676;0,2580645;0,16129032;0,09677419;0,12903225;0,16129032;0,06451613
2776,0337;0,032258064;0,032258064;0,032258064;0,032258064;0,032258064;0,032258064;0,032258064;0,032258064;0,09677419;0,09677419;0,09677419;0,032258064;0,06451613;0,06451613;0,06451613;0,09677419;0,13333334;0,06451613;0,06451613;0,09677419;0,09677419;0,06451613;0,032258064;0,032258064
3118,3171;0;0;0;0;0;0;0;0;0;0;0,032258064;0,06451613;0,06451613;0,09677419;0,09677419;0,09677419;0,06666667;0,09677419;0,06451613;0,032258064;0,032258064;0,032258064;0,032258064;0,032258064
